Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2025-08-01T21:39:37.754Z,false,2025-08-01T21:39:37.754Z,"2C3341-F650-ZICG25365088",xsd:string,2025-08-01T21:39:37.754Z,,,,
DeviceID.Manufacturer,false,2025-08-01T21:39:37.754Z,false,2025-08-01T21:39:37.754Z,"ZICG",xsd:string,2025-08-01T21:39:37.754Z,,,,
DeviceID.OUI,false,2025-08-01T21:39:37.754Z,false,2025-08-01T21:39:37.754Z,"2C3341",xsd:string,2025-08-01T21:39:37.754Z,,,,
DeviceID.ProductClass,false,2025-08-01T21:39:37.754Z,false,2025-08-01T21:39:37.754Z,"F650",xsd:string,2025-08-01T21:39:37.754Z,,,,
DeviceID.SerialNumber,false,2025-08-01T21:39:37.754Z,false,2025-08-01T21:39:37.754Z,"ZICG25365088",xsd:string,2025-08-01T21:39:37.754Z,,,,
Events.0_BOOTSTRAP,false,2025-08-01T21:39:37.754Z,false,2025-08-01T21:39:37.754Z,"2025-08-01T21:04:40.545Z",xsd:dateTime,2025-08-01T21:39:37.754Z,,,,
Events.Inform,false,2025-08-01T21:39:37.754Z,false,2025-08-01T21:39:37.754Z,"2025-08-01T21:39:37.754Z",xsd:dateTime,2025-08-01T21:39:37.754Z,,,,
Events.Registered,false,2025-08-01T21:39:37.754Z,false,2025-08-01T21:39:37.754Z,"2025-08-01T21:04:40.545Z",xsd:dateTime,2025-08-01T21:39:37.754Z,,,,
InternetGatewayDevice,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AccessType,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.Description,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.DeviceType,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.FirstUseDate,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.HardwareVersion,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"V3.1",xsd:string,2025-08-01T21:39:37.755Z,,,,
InternetGatewayDevice.DeviceInfo.Manufacturer,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ManufacturerOUI,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ModelName,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ModemFirmwareVersion,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProductClass,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProvisioningCode,false,2025-08-01T21:13:11.602Z,true,2025-08-01T21:13:11.602Z,"TLCO.GRP2",xsd:string,2025-08-01T21:39:37.755Z,,,,
InternetGatewayDevice.DeviceInfo.SerialNumber,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"V3.0.0P1T12",xsd:string,2025-08-01T21:39:37.755Z,,,,
InternetGatewayDevice.DeviceInfo.SpecVersion,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"1.0",xsd:string,2025-08-01T21:39:37.755Z,,,,
InternetGatewayDevice.DeviceInfo.UpTime,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"393048",xsd:unsignedInt,2025-08-01T21:24:26.182Z,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_ALGAbility,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Alarm,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Capability,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Card,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_CardInterVersion,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_CardKey,false,2025-08-01T21:13:11.602Z,true,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Cardmanage,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_DLNA,true,2025-08-01T21:13:11.602Z,true,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_DeviceType,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_IPForwardModeEnabled,false,2025-08-01T21:13:11.602Z,true,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_IPProtocolVersion,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_InformExtend,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_InterfaceVersion,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_MiddlewareMgt,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Monitor,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_MonitorCollector,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Ping,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_PortalManagement,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_ReConnect,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Restore,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_ServiceManage,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_Syslog,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_TeleComAccount,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_UPLink,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CT-COM_UPNP,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DeviceSummary,false,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.DownloadDiagnostics,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.IPPingDiagnostics,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.LANDevice,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.LANDevice.1,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.11,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.12,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.13,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.136,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.138,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.138.Active,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.138.AddressSource,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.138.HostName,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.138.IPAddress,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.138.InterfaceType,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.138.LeaseTimeRemaining,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.138.MACAddress,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.139,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.139.Active,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.139.AddressSource,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.139.HostName,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.139.IPAddress,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.139.InterfaceType,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.139.LeaseTimeRemaining,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.139.MACAddress,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.140,true,2025-08-01T21:13:11.602Z,false,2025-08-01T21:13:11.602Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.140.Active,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.140.AddressSource,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.140.HostName,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.140.IPAddress,false,2025-08-01T21:36:37.760Z,false,2025-08-01T21:36:37.760Z,"",,,,,,
