Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"1C2704-F663NV3A-ZTEGCA7F473F",xsd:string,2025-08-01T20:56:49.953Z,,,,
DeviceID.Manufacturer,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"ZTE",xsd:string,2025-08-01T20:56:49.953Z,,,,
DeviceID.OUI,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"1C2704",xsd:string,2025-08-01T20:56:49.953Z,,,,
DeviceID.ProductClass,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"F663NV3A",xsd:string,2025-08-01T20:56:49.953Z,,,,
DeviceID.SerialNumber,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"ZTEGCA7F473F",xsd:string,2025-08-01T20:56:49.953Z,,,,
Events.0_BOOTSTRAP,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"2025-07-30T09:10:18.500Z",xsd:dateTime,2025-08-01T20:56:49.953Z,,,,
Events.Inform,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"2025-08-01T20:56:49.953Z",xsd:dateTime,2025-08-01T20:56:49.953Z,,,,
Events.Registered,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"2025-07-30T09:10:18.500Z",xsd:dateTime,2025-08-01T20:56:49.953Z,,,,
InternetGatewayDevice,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.Description,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.FirstUseDate,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.HardwareVersion,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"V3.1",xsd:string,2025-08-01T20:56:49.954Z,,,,
InternetGatewayDevice.DeviceInfo.Manufacturer,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ManufacturerOUI,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"1C2704",xsd:string,2025-08-01T20:56:49.954Z,,,,
InternetGatewayDevice.DeviceInfo.MemoryStatus,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ModelName,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ModemFirmwareVersion,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProcessStatus,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProductClass,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProvisioningCode,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"TLCO.GRP2",xsd:string,2025-08-01T20:56:49.954Z,,,,
InternetGatewayDevice.DeviceInfo.SerialNumber,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"V1.0.0P1T6",xsd:string,2025-08-01T20:56:49.954Z,,,,
InternetGatewayDevice.DeviceInfo.SpecVersion,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"1.0",xsd:string,2025-08-01T20:56:49.954Z,,,,
InternetGatewayDevice.DeviceInfo.UpTime,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"561621",xsd:unsignedInt,2025-08-01T20:42:06.410Z,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_ALGAbility,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_Alarm,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_CPUClass,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_CustomiseName,false,2025-07-30T09:10:40.208Z,true,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_DLNA,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_IPProtocolVersion,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_LedControl,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_Monitor,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_PONUpTime,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_Ping,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_PortalManagement,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_ReConnect,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_Restore,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_ServiceManage,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_Syslog,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_TeleComAccount,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_UPNP,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.X_CMCC_UpLinkType,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DeviceSummary,false,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.DownloadDiagnostics,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.IPPingDiagnostics,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.LANDevice,true,2025-07-30T09:10:40.208Z,false,2025-07-30T09:10:40.208Z,"",,,,,,
InternetGatewayDevice.LANDevice.1,true,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts,true,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host,true,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.25,true,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.25.Active,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"TRUE",xsd:boolean,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.25.AddressSource,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"DHCP",xsd:string,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.25.HostName,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"Galaxy-A10s",xsd:string,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.25.IPAddress,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"192.168.1.5",xsd:string,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.25.InterfaceType,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"802.11",xsd:string,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.25.Layer2Interface,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"InternetGatewayDevice.LANDevice.1.WLANConfiguration.1",xsd:string,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.25.LeaseTimeRemaining,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"51494",xsd:int,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.25.MACAddress,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"36:7E:61:2C:F8:75",xsd:string,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.25.X_CMCC_Stats,true,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.25.X_CMCC_Stats.BytesReceived,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"925827762",xsd:unsignedInt,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.25.X_CMCC_Stats.BytesSent,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"70993870",xsd:unsignedInt,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3,true,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.Active,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"TRUE",xsd:boolean,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.AddressSource,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"DHCP",xsd:string,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.HostName,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"Galaxy-A06",xsd:string,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.IPAddress,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"192.168.1.4",xsd:string,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.InterfaceType,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"802.11",xsd:string,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.Layer2Interface,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"InternetGatewayDevice.LANDevice.1.WLANConfiguration.1",xsd:string,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.LeaseTimeRemaining,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"49769",xsd:int,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.MACAddress,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"32:F6:B9:7E:8A:30",xsd:string,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.X_CMCC_Stats,true,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.X_CMCC_Stats.BytesReceived,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"18043191664",xsd:unsignedInt,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.3.X_CMCC_Stats.BytesSent,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"1172555349",xsd:unsignedInt,2025-08-01T20:56:49.955Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.HostNumberOfEntries,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig,true,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement,true,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.AllowedMACAddresses,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.AssociatedConnection,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPLeaseTime,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPRelay,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPServerConfigurable,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPServerEnable,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DNSServers,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DomainName,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface,true,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1,true,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.Enable,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.IPInterfaceAddressingType,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.IPInterfaceIPAddress,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.IPInterfaceSubnetMask,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.X_CMCC_IPv6Address,true,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterface.1.X_CMCC_IPv6Address.LocalAddress,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPInterfaceNumberOfEntries,false,2025-08-01T20:56:49.953Z,false,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.IPRouters,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"192.168.1.1",xsd:string,2025-08-01T20:56:19.439Z,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.MaxAddress,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"192.168.1.254",xsd:string,2025-08-01T20:56:19.439Z,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.MinAddress,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"192.168.1.2",xsd:string,2025-08-01T20:56:19.439Z,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.PassthroughLease,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.PassthroughMACAddress,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.ReservedAddresses,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.SubnetMask,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.UseAllocatedWAN,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.X_CMCC_OPTION125Enable,false,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration,true,2025-08-01T20:56:49.953Z,true,2025-08-01T20:56:49.953Z,"",,,,,,
