Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"F86CE1-F650-ZICG297D7FFA",xsd:string,2025-07-29T16:01:15.444Z,,,,
DeviceID.Manufacturer,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"ZICG",xsd:string,2025-07-29T16:01:15.444Z,,,,
DeviceID.OUI,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"F86CE1",xsd:string,2025-07-29T16:01:15.444Z,,,,
DeviceID.ProductClass,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"F650",xsd:string,2025-07-29T16:01:15.444Z,,,,
DeviceID.SerialNumber,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"ZICG297D7FFA",xsd:string,2025-07-29T16:01:15.444Z,,,,
Events.0_BOOTSTRAP,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"2025-07-29T16:01:15.444Z",xsd:dateTime,2025-07-29T16:01:15.444Z,,,,
Events.Inform,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"2025-07-29T16:01:15.444Z",xsd:dateTime,2025-07-29T16:01:15.444Z,,,,
Events.Registered,false,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"2025-07-29T16:01:15.444Z",xsd:dateTime,2025-07-29T16:01:15.444Z,,,,
InternetGatewayDevice,true,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.DeviceInfo,true,2025-07-29T16:01:15.444Z,false,2025-07-29T16:01:15.444Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.HardwareVersion,false,2025-07-29T16:01:15.444Z,,,"V3.1",xsd:string,2025-07-29T16:01:15.445Z,,,,
InternetGatewayDevice.DeviceInfo.ProvisioningCode,false,2025-07-29T16:01:15.444Z,,,"TLCO.GRP2",xsd:string,2025-07-29T16:01:15.445Z,,,,
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,2025-07-29T16:01:15.444Z,,,"V3.0.0P1T12",xsd:string,2025-07-29T16:01:15.445Z,,,,
