Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"3CF652-F663NV9-ZTEGCAAB8C21",xsd:string,2025-07-29T15:14:44.092Z,,,,
DeviceID.Manufacturer,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"ZTE",xsd:string,2025-07-29T15:14:44.092Z,,,,
DeviceID.OUI,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"3CF652",xsd:string,2025-07-29T15:14:44.092Z,,,,
DeviceID.ProductClass,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"F663NV9",xsd:string,2025-07-29T15:14:44.092Z,,,,
DeviceID.SerialNumber,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"ZTEGCAAB8C21",xsd:string,2025-07-29T15:14:44.092Z,,,,
Events.0_BOOTSTRAP,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"2025-07-29T09:19:12.427Z",xsd:dateTime,2025-07-29T15:14:44.092Z,,,,
Events.Inform,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"2025-07-29T15:14:44.092Z",xsd:dateTime,2025-07-29T15:14:44.092Z,,,,
Events.Registered,false,2025-07-29T15:14:44.092Z,false,2025-07-29T15:14:44.092Z,"2025-07-29T09:19:12.427Z",xsd:dateTime,2025-07-29T15:14:44.092Z,,,,
InternetGatewayDevice,true,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo,true,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.Description,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.FirstUseDate,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.HardwareVersion,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"V9.0",xsd:string,2025-07-29T15:14:44.093Z,,,,
InternetGatewayDevice.DeviceInfo.Manufacturer,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ManufacturerOUI,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"3CF652",xsd:string,2025-07-29T15:14:44.093Z,,,,
InternetGatewayDevice.DeviceInfo.MemoryStatus,true,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ModelName,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ModemFirmwareVersion,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProcessStatus,true,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProductClass,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.ProvisioningCode,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"TLCO.GRP2",xsd:string,2025-07-29T15:14:44.093Z,,,,
InternetGatewayDevice.DeviceInfo.SerialNumber,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.SoftwareVersion,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"V9.0.0P1T8",xsd:string,2025-07-29T15:14:44.093Z,,,,
InternetGatewayDevice.DeviceInfo.SpecVersion,false,2025-07-29T09:20:40.979Z,false,2025-07-29T09:20:40.979Z,"1.0",xsd:string,2025-07-29T15:14:44.093Z,,,,
